,Tweets
1,Obama can kill Americans at will with drones but waterboarding is not allowed only in America!
2,"26,000 unreported sexual 
assaults in the military-only 238 convictions. 
What did these geniuses expect when they put men & 
women together?"
3,"The United States will be powerfully,
supporting those industries, like Airlines and others, that
are particularly affected by the Chinese Virus. We will be 
stronger than ever before!"
4,"""@nyccoins: @DanAmira @realDonaldTrump @NYMag Dan, you are a low life dumb ass! Stupid too, who made you an editor?""  A dead magazine!"
5,"But whenever she sees me, she kisses my ass. She's disgusting. @BetteMidler"
6,Every time I speak of the haters and losers I do so with great love and affection. They cannot help the fact that they were born fucked up!
7,"@caaataclysm   Little Jon Stewart(?) Is a pussy, he would be hopeless in a debate with me!"
8,The US should not give a penny of foreign aid to Egypt if the Muslim Brotherhood takes over the country.
9,"Sorry losers and haters, but my I.Q. is one of the
highest - and you all know it! Please don't feel so 
stupid or insecure, it's not your fault"
10,"Who wouldn't take Kate's picture
and make lots of money if she does the nude sunbathing thing. 
Come on Kate!"
11,"Crazy Joe Biden is trying to act like a tough guy. Actually, 
he is weak, both mentally and physically, and yet he threatens me, for the 
second time, with physical assault. He doesnâ€™t know me, but he would go down 
fast and hard, crying all the way. Donâ€™t threaten people Joe"
12,"We believe these people are thieves. The big city machines are corrupt.
This was a stolen election. Best pollster in Britain write 
this morning that this clearly was a stolen election, that it's
impossible to imagine that Biden outran Obama in some of these states."
13,"Everyone knows I am right that Robert Pattinson should 
dump Kristen Stewart. In a couple of years, he will thank me. Be smart, Robert."
14,"Hillary Clinton said that it is O.K. to ban Muslims from Israel by building a WALL, but not O.K. to do so in the U.S. We must be vigilant!"
15,See ungrateful Little @MacMiller statement to me a year ago - he was kissing my ass!
16,"Come on @DannyZuker, take the bet, show your friends and family (& your bosses on Modern Family) that you're not ""chicken shit"""
